# THE ERASURE REGISTER — one row per service that holds a reference to a person.
#
# ── WHY THIS FILE EXISTS ───────────────────────────────────────────────────────
#
# Rule 6 of `org/README.md` says every service storing `user_id` subscribes to
# `identity.user.deleted` and erases. The rule was true of two services out of
# sixteen: `activity` and `notify` were seeded at deploy, and six more had handler
# code no event could ever reach. A deletion request reported success and left
# personal data across the estate.
#
# The rule failed the way rules fail here — it lived in prose, and nothing read
# the prose. So it lives here instead, in a file that TWO mechanisms read:
#
#   * `scripts/estate-bootstrap.sh` seeds a subscription from every row, so a
#     service in this register cannot be deployed unsubscribed.
#   * `scripts/erasure-drill.sh` deletes a real user and asserts every row's
#     RESIDUAL query reaches zero, so a subscription that exists but erases
#     nothing is a failure rather than a green tick.
#
# One list, two consumers, no way for them to disagree. Adding a service here
# without an erasure handler makes the drill fail; writing a handler without a
# row here means it is never delivered to and the drill never covers it. Both
# halves are needed and neither is documentation.
#
# ── THE PROPERTY BEING ASSERTED ────────────────────────────────────────────────
#
# **After erasure, no row in any estate database still names the person.**
#
# That is one property, uniform across sixteen services with sixteen different
# ideas of what erasure means. It holds whether the service deleted the row or
# de-identified it, which is why RESIDUAL counts "rows that still name this
# subject" rather than "rows". A service that lawfully retains a de-identified
# financial record passes; a service that keeps the subject on it does not.
#
# ── COLUMNS ────────────────────────────────────────────────────────────────────
#
#   service    the compose service name
#   database   the Postgres database it owns (rule 1: one database, no other)
#   url        where identity's relay POSTs the event. IN-CLUSTER, port 4000 —
#              this is what goes in `event_subscriptions.url`.
#
#              NAME THE ABSORBER AND ITS MOUNTED PATH, NEVER THE ABSORBED
#              SERVICE. After the merge, `worlds`, `policy` and seventeen others
#              are ExternalName Services — DNS CNAMEs onto `agora` — so a URL
#              like `http://worlds:4000/v1/events` still RESOLVES, and reaches
#              agora, which answers the bare `/v1/events` with **410 Gone**
#              because each mounted module was given its own suffixed path. The
#              subscription looks configured and delivers nothing.
#
#              That is what this row said until 2026-09-02. Probed live on that
#              date, from inside the cluster:
#
#                /v1/events          410      the deliberate tombstone
#                /v1/events/agora    401      exists, signature refused
#                /v1/events/worlds   401      exists
#                /ingest/analytics   401      exists
#
#              — and `event_subscriptions` held no row for any of the three, so
#              agora's own voices, worlds' player profiles and analytics' salts
#              had never been erased on request (micro-org#474). The alias form
#              was also live for `devplatform` and `policy`; both worked, and
#              both would have stopped working silently the day their CNAME was
#              tidied away.
#   action     delete | anonymise | mixed — what erasure MEANS here. The reasoning
#              lives in the service's own handler, table by table, next to the
#              code that does it, because a rationale in a deploy file is a
#              rationale that drifts from the behaviour it describes
#   retained   tables that lawfully KEEP a row naming the person, comma-separated,
#              or `-`. Declared in advance, here, so that `SCAN` skips them and
#              the drill can still print what survived. A table not named here
#              that holds the subject after erasure is a FAILURE — which is what
#              makes this a declaration rather than an excuse
#   seed       SQL giving the drill user something to lose, `{{uid}}` substituted.
#              `-` means the user acquires data through a real flow instead
#   residual   `SCAN`, or SQL counting rows that STILL name the subject. MUST be
#              > 0 before the deletion and 0 after. The before-check is not
#              ceremony: an assertion over an empty table passes for the wrong
#              reason, and that is this estate's most-repeated defect.
#              `SCAN` asks the database instead of trusting a hand-kept list —
#              every text, uuid, varchar and jsonb column in every table. It is
#              what found the `outbox` leak that no handler had ever touched
#
# Pipe-separated because the SQL contains commas, spaces and quotes. Bash 3.2 on
# macOS has no associative arrays — an associative-array port map silently broke
# five suites here once — so this is read with `while IFS='|' read`.
#
# ── SEEDING THE DRILL'S DATA WITH SQL IS NOT MOCKING ───────────────────────────
#
# The house rule is "test the seam, not the mock". The seam under test is
# identity's outbox → the signed HTTP relay → the consumer's inbox → its erasure
# handler, and every one of those runs for real in this drill. How the row being
# erased was created is upstream of the seam, and standing up a funded chain
# withdrawal to prove settlement forgets a user would test a payment path, not an
# erasure path. Nothing on the path under test is stubbed or intercepted.
#
# service|database|url|action|retained|seed|residual
#
# ── SEEDED SINCE BEFORE THIS FILE ─────────────────────────────────────────────
# Both erase for real, and both were already proven end to end by estate-verify.
# They are here so the register is the whole truth rather than the new part of it.
activity|activity|http://agora:4000/ingest/activity|delete|-|-|SCAN
notify|notify|http://agora:4000/ingest/notify|delete|-|-|SCAN
#
# ── HAD A HANDLER, HAD NO SUBSCRIPTION ───────────────────────────────────────
# `trade` deletes bots and backtests and has done since it was written. Nothing
# ever delivered the event to it, so the code was correct and unreachable — which
# is indistinguishable from absent, and is why the register seeds rather than
# documents.
trade|trade|http://agora:4000/v1/events/trade|delete|-|insert into series (id, symbol, asset_code, timeframe, source) values ('00000000-0000-4000-8000-0000000d5111'::uuid, 'DRILL', 'EMBER', '1h', 'drill') on conflict do nothing; insert into backtests (user_id, series_id, strategy_id, seed, start_cash, fee_bps, slippage_bps) values ('{{uid}}', '00000000-0000-4000-8000-0000000d5111', 'sma-cross', 1, 100, 10, 10)|SCAN
#
# ── REGISTERED BECAUSE IT IS BROKEN, NOT BECAUSE IT WORKS ────────────────────
# `market`'s handler runs and erases NOTHING: it sets `expires_at` on the
# seller's listings (`market/src/server.ts:636-641`) and returns success. The
# seller's subject stays on every row, so the residual below does not reach zero
# and the drill FAILS on this line.
#
# That is deliberate. `micro-market` is held by another agent and this repository
# will not edit it, and the alternative — leaving market out of the register —
# would make the drill green by choosing not to look. A red line naming the
# service and the reason is the honest form of "not done", and it turns green the
# day market erases rather than the day somebody remembers to add it back.
market|market|http://agora:4000/v1/events/market|NOT ERASING — expires listings only|-|insert into listings (seller_subject, asset_kind, item_urn, quantity, item_asset_code, pricing_mode, price, asset_code, settlement_mode, status) values ('user:{{uid}}', 'token', 'cf:mint:token:drill', 1, 'DRILL', 'fixed', 100, 'EMBER', 'custodial', 'draft')|SCAN
#
# ── THE FOURTEEN THAT STORED A PERSON AND HAD NO SUBSCRIBER AT ALL ───────────
#
# Each row's reasoning is argued table by table in that service's own
# `src/erasure.ts` header, next to the code that does it. What is recorded HERE
# is only the part a deploy needs: where the event goes, and which tables are
# allowed to still name the person afterwards.
#
# billing — purchases, invoices and payouts are retained DE-IDENTIFIED under
# GDPR Art. 17(3)(b), tax and accounting record-keeping; they are also summed by
# `recycle.ts`, so deleting them would restate a period already posted to the
# ledger. subscriptions are retained de-identified AND forced terminal, because
# an anonymised `active` row goes on charging for ever. entitlements,
# usage_records and idempotency_keys are deleted — the last held a full copy of
# the subject inside its `response` jsonb, which no survey of `subject` COLUMNS
# would ever have found.
billing|billing|http://agora:4000/v1/events/billing|mixed|-|insert into usage_records (subject, meter, quantity) values ('user:{{uid}}', 'drill', 1)|SCAN
#
# settlement — `outbound_transactions` keeps raw_tx, tx_hash and to_address as
# proof the withdrawal was authorised (Art. 17(3)(b) and (e)); `user_id` is
# nulled and the row marked. `sweep_sources` is retained WHOLE and is the one
# declared exception here: the custody binding is the only route back to the coin
# at that address, and nulling it strands a user's own funds permanently.
#
# NOTE `treasuries.custody_user_id` is the literal 'cloudsforge:treasury' and is
# not a data subject at all — #162 listed it as one.
settlement|settlement|http://settlement:4000/v1/events|mixed|sweep_sources|insert into sweep_sources (chain, network, address, address_key, custody_chain, custody_family, custody_user_id, custody_order_id) values ('ember', 'mainnet', concat('0x', substr(md5('{{uid}}'), 1, 40)), 'drill-{{uid}}', 'ember', 'evm', '{{uid}}', 'drill-order'); insert into outbound_transactions (purpose, chain, network, from_address, from_address_key, to_address, to_address_key, asset_code, amount, fee, idempotency_key, user_id) values ('withdrawal', 'ember', 'mainnet', '0xd5110000000000000000000000000000000d5111', 'k1', '0xd5120000000000000000000000000000000d5122', 'k2', 'EMBER', 1, 1, concat('drill-', substr(md5('{{uid}}'), 1, 16)), '{{uid}}')|SCAN
#
# policy — policy_decisions and freezes are retained under Art. 17(3)(b), the
# AML obligation, and 17(3)(e). trusted_addresses, velocity_counters and
# cooling_off_timers are deleted: a saved withdrawal address is a preference,
# and a preference has no retention basis at all.
policy|policy|http://agora:4000/v1/events/policy|mixed|policy_decisions,freezes|insert into trusted_addresses (subject, address, effective_at, added_by) values ('user:{{uid}}', '0xd5110000000000000000000000000000000d5111', now(), 'drill')|SCAN
#
